 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=9.33.98.177,nw_dst=10.0.0.1,tp_src=28317,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=147.237.242.249,nw_dst=10.0.0.1,tp_src=28309,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=11.189.130.100,nw_dst=10.0.0.1,tp_src=28318,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=191.237.157.231,nw_dst=10.0.0.1,tp_src=28319,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=152.51.82.191,nw_dst=10.0.0.1,tp_src=28320,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.472s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=233.229.40.41,nw_dst=10.0.0.1,tp_src=28321,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.471s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=48.120.237.147,nw_dst=10.0.0.1,tp_src=28299,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.471s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=129.37.87.230,nw_dst=10.0.0.1,tp_src=28322,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=119.57.210.166,nw_dst=10.0.0.1,tp_src=28303,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=33.215.223.162,nw_dst=10.0.0.1,tp_src=28323,tp_dst=0 actions=output:1
